	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
196915	Cc1c(Cc2c(CO)nc3c(C(=O)O)cc(N4CCOCC4)nn23)cccc1C(F)(F)F	O00329	Kd	Homo sapiens	7.3187587626244115	48.0	CHEMBL3974658	CHEMBL3130	True
196918	Cc1c(Cc2c(CO)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F	O00329	Kd	Homo sapiens	6.647817481888637	225.0	CHEMBL3894812	CHEMBL3130	True
197091	Cc1c(Cc2cnn3c(O)cc(-c4ccncc4)nc23)cccc1C(F)(F)F	O00329	IC50	Homo sapiens	7.0	100.0	CHEMBL2322337	CHEMBL3130	True
197095	Cc1c(Cc2cnn3c(O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F	O00329	IC50	Homo sapiens	7.700057099977232	19.95	CHEMBL2322336	CHEMBL3130	True
197135	Cc1c(Cl)cc(C(C)Nc2ncnc3[nH]cnc23)c(-c2cccc(F)c2)c1-c1cnn(C)c1	O00329	IC50	Homo sapiens	8.275724130399214	5.3	CHEMBL4570334	CHEMBL3130	False
197136	Cc1c(Cl)cc(C(C)Nc2ncnc3[nH]cnc23)c(-c2cccc(F)c2)c1C#N	O00329	IC50	Homo sapiens	7.00436480540245	99.0	CHEMBL4576207	CHEMBL3130	False
197501	Cc1c(F)cccc1NCc1cc(C(=O)NCCN(C)C)cc2ncc(N3CCOCC3)nc12	O00329	Kd	Homo sapiens	6.489454989793388	324.0	CHEMBL4127570	CHEMBL3130	True
198675	Cc1c[nH]c2ncnc(NC(C)c3nc4cccc(C)c4c(=O)n3-c3cccc(F)c3)c12	O00329	IC50	Homo sapiens	7.795880017344077	16.0	CHEMBL3654358	CHEMBL3130	False
199379	Cc1cc(-c2cccnc2Nc2cccc(O)c2)nc(N)n1	O00329	Ki	Homo sapiens	5.221848749616356	6000.0	CHEMBL2165045	CHEMBL3130	True
201540	Cc1cc(C(C)N(C)c2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.657577319177793	220.0	CHEMBL3585581	CHEMBL3130	True
201552	Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	O00329	IC50	Homo sapiens	6.507513954485209	414.33333333333326	CHEMBL1972466	CHEMBL3130	False
